CYQ_Cal
Date:,2017/04/10
Time:,14:56:56
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra,,,*1,,,*2,,,*3,,,*4
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
72,300.534119,377.946777,468.339539,283.640808,418.968323,219.804001,338.751404,502.139404,87.486160,379.771973,498.551239,51.058460,447.831238,455.964447,1052.921753,,,,,,,,,,,,

ANALOG
1000.000000,Hz
Sample #,Fx1,Fy1,Fz1,Mx1,My1,Mz1
Units:,N,N,N,Nmm,Nmm,Nmm
711,-3.104401,-4.997771,-294.511658,103078.234375,21996.470703,-36.923771
712,-2.725078,-5.200870,-293.723114,102802.242188,21698.392578,138.490372
713,-3.204223,-4.855602,-295.024231,103257.632813,22153.791016,-101.717003
714,-3.902977,-5.160249,-294.511688,103078.234375,22393.912109,-282.304749
715,-3.743262,-4.713433,-294.827118,103188.632813,21946.796875,-320.235901
716,-3.583547,-4.388475,-295.457947,103409.429688,21781.193359,-332.576630
717,-3.503689,-4.672813,-295.260834,103340.445313,22037.876953,-244.915619
718,-3.104401,-4.997771,-295.733948,103506.039063,21822.593750,-36.923771
719,-2.365719,-5.160249,-295.536804,103437.023438,21665.275391,255.735748
720,-2.944686,-5.221179,-295.970520,103588.828125,21938.511719,65.892349

FORCE PLATES
1000.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-500.000000,450.000000,0.000000,100.000000,450.000000,0.000000,100.000000,-450.000000,0.000000,-500.000000,-450.000000,0.000000

,Force Plate 1
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
711,-275.056875,-349.403189,0.000000,-200.000000,0.000000,0.000000,3.104401,-4.997771,294.511658,-102903.312397,22105.124750,36.923771
712,-274.198350,-349.377379,0.000000,-200.000000,0.000000,0.000000,2.725078,-5.200870,293.723114,-102620.211753,21793.770295,-138.490372
713,-275.471560,-349.421085,0.000000,-200.000000,0.000000,0.000000,3.204223,-4.855602,295.024231,-103087.686750,22265.938834,101.717003
714,-276.501264,-349.383844,0.000000,-200.000000,0.000000,0.000000,3.902977,-5.160249,294.511688,-102897.625652,22530.516312,282.304749
715,-274.883922,-349.437540,0.000000,-200.000000,0.000000,0.000000,3.743262,-4.713433,294.827118,-103023.662665,22077.811047,320.235901
716,-274.144621,-349.477258,0.000000,-200.000000,0.000000,0.000000,3.583547,-4.388475,295.457947,-103255.833048,21906.617500,332.576630
717,-275.053998,-349.443221,0.000000,-200.000000,0.000000,0.000000,3.503689,-4.672813,295.260834,-103176.896860,22160.506078,244.915619
718,-274.158709,-349.405666,0.000000,-200.000000,0.000000,0.000000,3.104401,-4.997771,295.733948,-103331.117085,21931.247797,36.923771
719,-273.588383,-349.385976,0.000000,-200.000000,0.000000,0.000000,2.365719,-5.160249,295.536804,-103256.414714,21748.075542,-255.735748
720,-274.472200,-349.379684,0.000000,-200.000000,0.000000,0.000000,2.944686,-5.221179,295.970520,-103406.086860,22041.575735,-65.892349

