HRJ_Cal
Date:,2017/04/10
Time:,15:41:47
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,273.220886,218.599304,526.718445,265.427521,290.522430,243.933365,317.619476,362.107666,83.822807,359.276978,358.461426,47.509212,421.944733,342.772705,1197.858643

ANALOG
1000.000000,Hz
Sample #,Fx1,Fy1,Fz1,Mx1,My1,Mz1
Units:,N,N,N,Nmm,Nmm,Nmm
301,-3.067155,-5.186779,-445.549103,155941.343750,-22660.011719,15.804052
302,-2.847547,-5.491426,-443.695953,155292.750000,-22502.691406,156.643112
303,-3.166977,-4.475934,-444.878784,155706.703125,-22651.736328,-168.410950
304,-2.887475,-4.577483,-444.445099,155554.953125,-22494.414063,-49.260078
305,-2.647903,-4.780581,-444.918213,155720.515625,-22395.050781,77.241013
306,-2.588010,-4.150976,-444.326813,155513.531250,-22568.931641,-34.013454
307,-2.308508,-4.679032,-445.233643,155830.906250,-22461.291016,174.703857
308,-2.627938,-5.003990,-443.971954,155389.328125,-22312.250000,131.144424
309,-2.588010,-4.679032,-444.445099,155554.921875,-22345.369141,76.878319
310,-2.588010,-4.171286,-444.169098,155458.328125,-22221.167969,-29.748383

FORCE PLATES
1000.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-500.000000,450.000000,0.000000,100.000000,450.000000,0.000000,100.000000,-450.000000,0.000000,-500.000000,-450.000000,0.000000

,Force Plate 1
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
301,-149.382321,-349.590664,0.000000,-200.000000,0.000000,0.000000,3.067155,-5.186779,445.549103,-155759.806501,-22552.661281,-15.804052
302,-149.508155,-349.564942,0.000000,-200.000000,0.000000,0.000000,2.847547,-5.491426,443.695953,-155100.550074,-22403.027268,-156.643112
303,-149.332508,-349.645906,0.000000,-200.000000,0.000000,0.000000,3.166977,-4.475934,444.878784,-155550.045434,-22540.892127,168.410950
304,-149.615031,-349.637653,0.000000,-200.000000,0.000000,0.000000,2.887475,-4.577483,444.445099,-155394.741214,-22393.352420,49.260078
305,-149.873092,-349.622000,0.000000,-200.000000,0.000000,0.000000,2.647903,-4.780581,444.918213,-155553.195273,-22302.374177,-77.241013
306,-149.410320,-349.671104,0.000000,-200.000000,0.000000,0.000000,2.588010,-4.150976,444.326813,-155368.247084,-22478.351305,34.013454
307,-149.733149,-349.630228,0.000000,-200.000000,0.000000,0.000000,2.308508,-4.679032,445.233643,-155667.140119,-22380.493230,-174.703857
308,-149.951181,-349.603589,0.000000,-200.000000,0.000000,0.000000,2.627938,-5.003990,443.971954,-155214.188469,-22220.272161,-131.144424
309,-149.926799,-349.629586,0.000000,-200.000000,0.000000,0.000000,2.588010,-4.679032,444.445099,-155391.155744,-22254.788805,-76.878319
310,-150.175310,-349.669380,0.000000,-200.000000,0.000000,0.000000,2.588010,-4.171286,444.169098,-155312.333111,-22130.587633,29.748383

