HLL_001
Date:,2017/04/11
Time:,09:58:11
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,289.296906,270.758728,435.004639,293.202362,365.065735,218.364258,345.789124,461.658142,87.947342,377.148163,471.916199,54.075012,425.436829,395.555878,1067.814087
32,288.958038,271.663788,435.144226,293.090179,365.484406,218.387711,345.753998,461.641815,87.957497,377.144714,471.886871,54.117733,425.348694,394.984772,1067.960083
33,288.600830,272.615448,435.290253,292.994324,365.913879,218.430817,345.720245,461.617432,87.974495,377.149109,471.848022,54.168243,425.268097,394.289551,1068.124268
34,288.272247,273.488007,435.425110,292.940125,366.303101,218.501053,345.693939,461.586029,87.998932,377.166382,471.800812,54.222458,425.214264,393.507813,1068.296143
35,288.015503,274.174469,435.532898,292.946106,366.618500,218.604004,345.679047,461.550598,88.029938,377.199615,471.748260,54.274979,425.204498,392.680359,1068.471436
36,287.860962,274.612457,435.600739,293.017639,366.848236,218.738846,345.676483,461.514709,88.065163,377.248077,471.694885,54.320293,425.251190,391.843933,1068.651245
37,287.823486,274.787598,435.618561,293.146912,366.995087,218.896133,345.685394,461.481781,88.101257,377.307739,471.645416,54.354401,425.361969,391.026550,1068.837891
38,287.904602,274.721161,435.579163,293.318024,367.066864,219.059967,345.704681,461.454407,88.134972,377.373047,471.603851,54.375904,425.541351,390.244141,1069.032593
39,288.096313,274.452026,435.478271,293.513458,367.068665,219.213913,345.732208,461.433472,88.164581,377.438324,471.572083,54.386242,425.789886,389.501770,1069.235962
40,288.384491,274.019958,435.316040,293.719635,366.998077,219.346191,345.764069,461.417511,88.190895,377.498749,471.549286,54.389221,426.101593,388.799194,1069.448730
41,288.752167,273.452698,435.100952,293.928711,366.844421,219.451294,345.795593,461.402802,88.217621,377.551575,471.531860,54.390369,426.461029,388.135071,1069.671265
42,289.181274,272.760101,434.851898,294.138458,366.592560,219.529968,345.823792,461.384430,88.250465,377.596863,471.514740,54.395966,426.843933,387.506470,1069.904663
43,289.651062,271.936035,434.593903,294.350922,366.228668,219.588821,345.848358,461.357422,88.295609,377.637115,471.492859,54.411522,427.226532,386.905060,1070.150757
44,290.137329,270.965912,434.349792,294.570709,365.744934,219.638336,345.871002,461.317444,88.358269,377.675629,471.462036,54.440639,427.596313,386.314911,1070.412964
