HLL_Cal
Date:,2017/04/11
Time:,09:56:58
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
73,304.981537,321.951508,451.370178,291.875641,376.545013,227.915405,341.102417,437.377625,88.169144,372.569244,446.205353,53.510605,469.704437,398.393707,1053.661377

ANALOG
1000.000000,Hz
Sample #,Fx1,Fy1,Fz1,Mx1,My1,Mz1
Units:,N,N,N,Nmm,Nmm,Nmm
721,1.194776,0.152844,-577.269958,-22485.212891,6581.186523,-136.715286
722,1.114918,0.355942,-577.624878,-22857.832031,6755.058594,-326.921387
723,0.975167,0.010675,-576.994019,-22443.826172,6606.020996,-159.766693
724,0.775523,-0.212734,-577.664246,-22485.214844,6117.504883,-229.912872
725,-0.082946,0.030985,-575.574585,-22692.222656,6639.141113,-115.118988
726,0.515986,-0.151804,-576.442017,-22609.416016,6506.664551,-327.376160
727,0.895309,-0.029945,-577.940308,-22775.015625,6920.663086,-181.546326
728,0.695666,-0.497072,-576.678528,-22305.822266,6490.102051,-331.548920
729,1.434348,-0.070565,-576.836304,-22278.224609,6456.980957,-176.735275
730,2.153067,0.254393,-577.230530,-21809.023438,6423.861816,-127.914307

FORCE PLATES
1000.000000,Hz
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-500.000000,450.000000,0.000000,100.000000,450.000000,0.000000,100.000000,-450.000000,0.000000,-500.000000,-450.000000,0.000000

,Force Plate 1
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
721,-211.328096,38.941682,0.000000,-200.000000,0.000000,0.000000,-1.194776,0.152844,577.269958,22479.863352,6539.369378,136.715286
722,-211.626986,39.550537,0.000000,-200.000000,0.000000,0.000000,-1.114918,0.355942,577.624878,22845.374061,6716.036472,326.921387
723,-211.389876,38.897201,0.000000,-200.000000,0.000000,0.000000,-0.975167,0.010675,576.994019,22443.452549,6571.890141,159.766693
724,-210.543082,38.937256,0.000000,-200.000000,0.000000,0.000000,-0.775523,-0.212734,577.664246,22492.660542,6090.361563,229.912872
725,-211.539850,39.423454,0.000000,-200.000000,0.000000,0.000000,0.082946,0.030985,575.574585,22691.138186,6642.044209,115.118988
726,-211.256301,39.231577,0.000000,-200.000000,0.000000,0.000000,-0.515986,-0.151804,576.442017,22614.729171,6488.605042,327.376160
727,-211.920482,39.409024,0.000000,-200.000000,0.000000,0.000000,-0.895309,-0.029945,577.940308,22776.063713,6889.327255,181.546326
728,-211.212059,38.709990,0.000000,-200.000000,0.000000,0.000000,-0.695666,-0.497072,576.678528,22323.219793,6465.753755,331.548920
729,-211.106754,38.625680,0.000000,-200.000000,0.000000,0.000000,-1.434348,-0.070565,576.836304,22280.694392,6406.778765,176.735275
730,-210.998213,37.766748,0.000000,-200.000000,0.000000,0.000000,-2.153067,0.254393,577.230530,21800.119679,6348.504476,127.914307

