HLL_003
Date:,2017/04/11
Time:,09:58:27
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
56,1990.036499,-1755.058716,357.613678,1990.094482,-1981.438843,277.617828,1952.291870,-2111.396729,280.227692,1921.159546,-2146.770264,288.858276,1852.448242,-1688.843384,1003.101868
57,1989.164795,-1735.493530,354.526337,1989.246948,-1962.592163,279.368774,1951.363403,-2093.329590,284.675385,1920.380737,-2128.887695,293.184052,1850.901123,-1680.704590,1001.955078
58,1987.896729,-1710.542236,351.283203,1988.099854,-1938.390747,281.563995,1950.026733,-2070.536621,289.813629,1919.183472,-2106.314209,297.844086,1848.933228,-1670.398926,1000.674927
59,1986.191284,-1681.052368,348.351471,1986.645752,-1909.574463,284.089752,1948.260620,-2043.856934,295.125671,1917.533813,-2079.872314,302.208557,1846.602661,-1658.298584,999.413147
60,1984.025757,-1648.117188,346.196625,1984.881958,-1877.135010,286.781006,1946.078247,-2014.278564,300.006866,1915.449219,-2050.526123,305.617401,1843.969238,-1644.853271,998.339172
61,1981.390869,-1612.813965,345.210083,1982.807373,-1842.068237,289.445129,1943.522827,-1982.691528,303.867584,1912.993774,-2019.134888,307.490845,1841.068604,-1630.470581,997.613953
62,1978.286499,-1576.079834,345.683777,1980.422729,-1805.249023,291.890442,1940.660278,-1949.786255,306.201782,1910.262451,-1986.354492,307.385681,1837.904175,-1615.462036,997.375183
63,1974.719849,-1538.676880,347.806915,1977.731445,-1767.384399,293.951691,1937.572632,-1916.031250,306.628174,1907.363770,-1952.616089,305.016937,1834.451416,-1600.030518,997.731140
64,1970.705688,-1501.204956,351.667786,1974.741577,-1729.005005,295.500122,1934.346802,-1881.686157,304.906708,1904.400879,-1918.144287,300.255981,1830.673340,-1584.281128,998.759583
65,1966.269409,-1464.131592,357.257019,1971.468384,-1690.477173,296.441772,1931.063232,-1846.834106,300.932831,1901.454712,-1882.992798,293.110291,1826.539917,-1568.241943,1000.509460
66,1961.451294,-1427.823486,364.474976,1967.934814,-1652.025146,296.713165,1927.784180,-1811.427490,294.718811,1898.569702,-1847.090698,283.695190,1822.043457,-1551.887695,1003.004272
67,1956.310791,-1392.572021,373.143738,1964.171387,-1613.762695,296.279480,1924.548706,-1775.341919,286.371368,1895.748535,-1810.296265,272.207794,1817.205811,-1535.163452,1006.244263
68,1950.927734,-1358.609741,383.022797,1960.213013,-1575.728882,295.136322,1921.370728,-1738.427246,276.070251,1892.960449,-1772.451050,258.903687,1812.076294,-1518.004272,1010.207581
69,1945.396118,-1326.121582,393.825470,1956.095337,-1537.926025,293.310150,1918.239502,-1700.548096,264.051147,1890.155640,-1733.426270,244.076660,1806.724976,-1500.349121,1014.850220
70,1939.813843,-1295.248901,405.234100,1951.850220,-1500.349854,290.851105,1915.119263,-1661.609619,250.596405,1887.277588,-1693.151123,228.048172,1801.237061,-1482.153198,1020.103149
71,1934.272217,-1266.093262,416.913208,1947.499756,-1463.010132,287.823486,1911.948608,-1621.577759,236.030579,1884.267090,-1651.628540,211.166321,1795.707397,-1463.401245,1025.871094
72,1928.847534,-1238.715210,428.520264,1943.052124,-1425.942993,284.302490,1908.644653,-1580.500122,220.715408,1881.057983,-1608.945801,193.803680,1790.236084,-1444.124512,1032.034912
73,1923.594116,-1213.129272,439.715546,1938.502319,-1389.222168,280.378815,1905.111328,-1538.530762,205.040054,1877.568848,-1565.283813,176.347260,1784.924683,-1424.408325,1038.458252
74,1918.542969,-1189.295532,450.177399,1933.835083,-1352.967773,276.163879,1901.252441,-1495.944946,189.406357,1873.701660,-1520.926758,159.185623,1779.873901,-1404.379028,1044.993164
75,1913.707520,-1167.114868,459.621948,1929.034180,-1317.350464,271.786621,1896.986572,-1453.139893,174.208054,1869.354980,-1476.267822,142.694016,1775.180664,-1384.186279,1051.486328
76,1909.093750,-1146.427246,467.820923,1924.092651,-1282.589111,267.380066,1892.258911,-1410.616333,159.805054,1864.447266,-1431.806274,127.214127,1770.931763,-1363.987061,1057.782349
77,1904.707886,-1127.016113,474.611481,1919.024780,-1248.941406,263.063202,1887.052490,-1368.946655,146.497299,1858.942871,-1388.130005,113.032761,1767.195801,-1343.930298,1063.726929
78,1900.562256,-1108.618042,479.898682,1913.868042,-1216.686157,258.925232,1881.398193,-1328.733887,134.505630,1852.871216,-1345.882202,100.364777,1764.015991,-1324.142334,1069.168823
79,1896.678833,-1090.940186,483.653229,1908.681885,-1186.098145,255.014450,1875.380615,-1290.568237,123.962379,1846.330444,-1305.715210,89.340050,1761.402832,-1304.713257,1073.960327
80,1893.083740,-1073.690063,485.902405,1903.543213,-1157.422241,251.330292,1869.136230,-1254.984253,114.908997,1839.479858,-1268.240967,79.994804,1759.331787,-1285.690430,1077.957520
81,1889.798096,-1056.611328,486.711243,1898.541260,-1130.847534,247.819519,1862.844116,-1222.422241,107.300034,1832.528442,-1233.988770,72.271141,1757.748413,-1267.077637,1081.022339
82,1886.829102,-1039.518921,486.157166,1893.771851,-1106.490112,244.378067,1856.708618,-1193.201660,101.016899,1825.719971,-1203.372070,66.029427,1756.579956,-1248.841919,1083.027832
83,1884.169312,-1022.320679,484.308411,1889.329712,-1084.387817,240.861557,1850.939331,-1167.510864,95.893188,1819.312622,-1176.666870,61.075634,1755.751343,-1230.921631,1083.866211
