HLL_007
Date:,2017/04/11
Time:,09:59:02
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
173,2255.603027,-2192.394775,401.828369,2217.472656,-2365.997070,230.212448,2146.943848,-2488.625244,148.724350,2109.456787,-2502.462158,121.400192,2155.490723,-2079.010498,1035.827881
174,2253.904297,-2200.576172,399.188202,2215.414551,-2371.860107,225.578888,2144.526123,-2494.280273,142.057251,2107.455811,-2507.112549,113.850739,2155.364990,-2085.339355,1032.801514
175,2251.948730,-2210.042969,395.892822,2212.982666,-2378.655762,220.076782,2141.599121,-2500.781006,134.054596,2105.058594,-2512.409912,104.799316,2155.024658,-2093.064453,1029.293701
176,2249.896484,-2220.031982,392.127808,2210.353516,-2385.833984,214.093857,2138.364746,-2507.569336,125.285271,2102.439697,-2517.879150,94.889290,2154.399902,-2101.732178,1025.621338
177,2247.899902,-2229.788574,388.160187,2207.718750,-2392.837891,208.056503,2135.068115,-2514.090820,116.408234,2099.802490,-2523.061523,84.864830,2153.441406,-2110.815430,1022.130615
178,2246.076660,-2238.711182,384.305481,2205.255371,-2399.210938,202.364151,2131.947998,-2519.906250,108.043625,2097.337646,-2527.611328,75.428123,2152.120361,-2119.818848,1019.133606
179,2244.510010,-2246.399658,380.890839,2203.107666,-2404.636963,197.363449,2129.204590,-2524.733398,100.698273,2095.196045,-2531.322998,67.154625,2150.422363,-2128.332031,1016.875854
180,2243.253906,-2252.655273,378.215027,2201.376953,-2408.950684,193.334641,2126.979736,-2528.442139,94.729584,2093.475342,-2534.119141,60.449234,2148.341309,-2136.048828,1015.526184
181,2242.333496,-2257.465576,376.515259,2200.115723,-2412.127197,190.478378,2125.343994,-2531.025391,90.332680,2092.215088,-2536.017578,55.529465,2145.879395,-2142.764160,1015.177917
182,2241.735352,-2260.973877,375.949677,2199.322266,-2414.260742,188.905273,2124.292236,-2532.559570,87.546280,2091.397949,-2537.096436,52.431606,2143.053711,-2148.360596,1015.855713
183,2241.398926,-2263.440186,376.596741,2198.940430,-2415.531250,188.636032,2123.760742,-2533.169678,86.281494,2090.962891,-2537.462891,51.045341,2139.903564,-2152.790283,1017.526794
184,2241.215576,-2265.195557,378.464478,2198.869873,-2416.167725,189.615891,2123.659424,-2532.999512,86.369858,2090.833008,-2537.235840,51.172546,2136.497070,-2156.057373,1020.115234
185,2241.047852,-2266.586914,381.505310,2199.000244,-2416.410889,191.738754,2123.909180,-2532.193848,87.610939,2090.944824,-2536.534424,52.585602,2132.929443,-2158.202393,1023.517883
186,2240.765869,-2267.921631,385.632782,2199.248291,-2416.472656,194.869873,2124.458496,-2530.889648,89.802422,2091.262695,-2535.469971,55.062130,2129.314697,-2159.290283,1027.617920
187,2240.287354,-2269.420898,390.735016,2199.575195,-2416.507813,198.860504,2125.282959,-2529.209961,92.753357,2091.775146,-2534.140381,58.396149,2125.764893,-2159.402588,1032.293457
188,2239.594238,-2271.195801,396.677368,2199.978760,-2416.600342,203.555084,2126.372314,-2527.259033,96.289803,2092.485352,-2532.624023,62.399570,2122.371094,-2158.628174,1037.419678
189,2238.717041,-2273.248291,403.296387,2200.472412,-2416.769043,208.793121,2127.715820,-2525.120361,100.257736,2093.396240,-2530.981201,66.902893,2119.188721,-2157.059570,1042.867798
190,2237.706543,-2275.495361,410.398682,2201.066406,-2416.983643,214.409927,2129.293457,-2522.856934,104.523338,2094.507080,-2529.255859,71.755409,2116.232422,-2154.789063,1048.503296
191,2236.613281,-2277.799316,417.772064,2201.761719,-2417.185303,220.240753,2131.076660,-2520.515625,108.971581,2095.809814,-2527.481689,76.823990,2113.478027,-2151.911133,1054.185059
192,2235.480957,-2279.999023,425.202698,2202.549072,-2417.305664,226.127747,2133.032715,-2518.134277,113.504494,2097.294434,-2525.688721,81.991051,2110.872803,-2148.521973,1059.767700
193,2234.350342,-2281.928711,432.487610,2203.414063,-2417.279053,231.926132,2135.129883,-2515.747559,118.038391,2098.948730,-2523.909424,87.152641,2108.348389,-2144.717773,1065.105713
194,2233.261719,-2283.429199,439.440277,2204.339844,-2417.048584,237.505402,2137.339111,-2513.390869,122.499420,2100.760986,-2522.180420,92.216515,2105.832275,-2140.591064,1070.059326
