HLL_010
Date:,2017/04/11
Time:,09:59:49
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
716,-231.418869,3209.066650,436.312042,-162.525970,3264.132568,215.819565,-68.925705,3297.277344,93.178909,-34.665604,3288.192383,60.070827,-88.542831,3169.805420,1055.099243
717,-233.538712,3206.294678,436.518097,-163.297958,3262.483398,216.476990,-69.217491,3296.307129,94.625320,-34.815098,3287.419922,61.662674,-94.243599,3163.762939,1054.950806
718,-236.272705,3202.656494,436.750427,-164.295822,3260.331787,217.299332,-69.528252,3295.017578,96.494614,-34.987564,3286.395508,63.715584,-101.362488,3156.110596,1054.660645
719,-239.551849,3198.224365,436.997620,-165.505539,3257.732910,218.278305,-69.817558,3293.427490,98.743828,-35.173225,3285.141602,66.177185,-109.596985,3147.129639,1054.186646
720,-243.291367,3193.109375,437.255798,-166.920166,3254.770020,219.424484,-70.053947,3291.572754,101.316788,-35.369602,3283.701172,68.982544,-118.601547,3137.165283,1053.493164
721,-247.426239,3187.420410,437.523895,-168.550629,3251.526855,220.759781,-70.236786,3289.501221,104.160072,-35.585621,3282.121338,72.080658,-128.072754,3126.538330,1052.553101
722,-251.929245,3181.241943,437.794006,-170.425354,3248.066650,222.293396,-70.419907,3287.271240,107.229233,-35.847443,3280.441895,75.443123,-137.784378,3115.503174,1051.349854
723,-256.811035,3174.620605,438.044708,-172.586197,3244.423828,224.011002,-70.721489,3284.954102,110.491882,-36.207153,3278.702148,79.055923,-147.592163,3104.234375,1049.876709
724,-262.109161,3167.568848,438.240845,-175.085144,3240.606445,225.884537,-71.291885,3282.619873,113.933441,-36.737339,3276.941895,82.915634,-157.423355,3092.831299,1048.134888
725,-267.877228,3160.070313,438.339417,-177.980377,3236.601807,227.886902,-72.261177,3280.312256,117.564201,-37.511951,3275.188721,87.038391,-167.260284,3081.332764,1046.133545
726,-274.178864,3152.091064,438.297882,-181.333267,3232.381104,230.001129,-73.720123,3278.032959,121.419716,-38.598148,3273.441650,91.465759,-177.122131,3069.734619,1043.889771
727,-281.084564,3143.587891,438.080261,-185.208267,3227.901123,232.222229,-75.733116,3275.744385,125.554680,-40.063095,3271.667969,96.261299,-187.047897,3058.008789,1041.430664
728,-288.670380,3134.513428,437.658600,-189.674316,3223.101563,234.551773,-78.353004,3273.373047,130.036209,-41.982197,3269.802979,101.505646,-197.082352,3046.120361,1038.794189
729,-297.017761,3124.814697,437.009583,-194.804993,3217.905273,236.990173,-81.633484,3270.811768,134.938782,-44.445469,3267.750000,107.292824,-207.265701,3034.041260,1036.028809
730,-306.213501,3114.427734,436.107178,-200.679504,3212.216797,239.532669,-85.644264,3267.917725,140.340851,-47.562832,3265.375977,113.727097,-217.625977,3021.758789,1033.190674
731,-316.347260,3103.270508,434.915985,-207.383438,3205.923340,242.170273,-90.486893,3264.510010,146.321640,-51.466980,3262.509766,120.918877,-228.173233,3009.278076,1030.340088
732,-327.505463,3091.248779,433.389221,-215.006607,3198.897949,244.892715,-96.301796,3260.369629,152.956161,-56.314083,3258.940918,128.978760,-238.894913,2996.622314,1027.540894
733,-339.762848,3078.270752,431.476532,-223.638672,3191.005615,247.691818,-103.263634,3255.250488,160.309036,-62.283768,3254.424072,138.008148,-249.752960,2983.829834,1024.859619
734,-353.173309,3064.268311,429.140686,-233.364716,3182.111572,250.564972,-111.565964,3248.892090,168.426697,-69.575050,3248.691162,148.084351,-260.683807,2970.955322,1022.365112
735,-367.759369,3049.215088,426.379547,-244.258118,3172.090576,253.518951,-121.393173,3241.039551,177.325775,-78.391663,3241.471191,159.241699,-271.603607,2958.066406,1020.128662
736,-383.498810,3033.132080,423.242706,-256.368195,3160.841064,256.571838,-132.888733,3231.463867,186.978943,-88.916565,3232.517334,171.453445,-282.423340,2945.239746,1018.220337
737,-400.313751,3016.077393,419.833771,-269.705841,3148.297119,259.752167,-146.130676,3219.990723,197.302094,-101.280403,3221.635254,184.615173,-293.068665,2932.551025,1016.701965
738,-418.067383,2998.132568,416.299347,-284.233765,3134.441162,263.096558,-161.113052,3206.521973,208.144348,-115.525642,3208.706543,198.528091,-303.492126,2920.062500,1015.618347
739,-436.574310,2979.387451,412.814514,-299.866791,3119.304932,266.645691,-177.735794,3191.059082,219.285263,-131.578644,3193.703369,212.885071,-313.674866,2907.813721,1014.992493
740,-455.625244,2959.932617,409.572510,-316.482971,3102.965332,270.435791,-195.806564,3173.722412,230.443497,-149.247864,3176.703857,227.267197,-323.620941,2895.816162,1014.826904
741,-475.015900,2939.854004,406.775818,-333.938812,3085.529541,274.484070,-215.045868,3154.749512,241.297882,-168.237320,3157.903320,241.176132,-333.344910,2884.055176,1015.108337
742,-494.568329,2919.231445,404.622589,-352.080933,3067.120117,278.772705,-235.095367,3134.471436,251.529068,-188.161026,3137.611816,254.121902,-342.860504,2872.496582,1015.813477
