ZHN_011
Date:,2017/04/10
Time:,14:36:26
Type:,test20130709
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,r_knee,,,r_ankle,,,r_shoe up,,,r_shoe down,,,Gra
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-1385.876953,-1375.604370,561.466003,-1463.588135,-1309.643066,277.091095,-1495.002197,-1210.505737,168.504517,-1475.227173,-1175.908203,131.555115,-1463.370972,-1044.413818,1183.543823
2,-1378.743896,-1381.793091,560.898438,-1448.741699,-1322.957397,272.907288,-1477.304810,-1227.177612,161.360748,-1456.558838,-1192.409424,124.400749,-1458.665039,-1050.045288,1182.708862
3,-1369.957520,-1389.343872,559.878479,-1430.013306,-1339.490845,267.795715,-1454.748779,-1247.842041,152.635757,-1432.774170,-1213.032837,115.790031,-1452.678223,-1057.210205,1181.572754
4,-1359.943481,-1397.833130,558.291321,-1408.168091,-1358.421021,262.057526,-1428.159302,-1271.487793,142.866837,-1404.720825,-1236.816528,106.298203,-1445.620361,-1065.657837,1180.140503
5,-1349.157227,-1406.793091,556.056152,-1384.175049,-1378.743652,256.041534,-1398.630005,-1296.885132,132.685318,-1373.507568,-1262.547852,96.571327,-1437.752075,-1075.074585,1178.433228
6,-1337.971924,-1415.820190,553.140442,-1359.000854,-1399.468140,250.066147,-1367.268188,-1322.799438,122.676071,-1340.262451,-1288.991699,87.196304,-1429.314697,-1085.166992,1176.477661
7,-1326.643311,-1424.628784,549.563110,-1333.505859,-1419.713257,244.372269,-1335.070557,-1348.108032,113.302101,-1306.023682,-1315.016235,78.636131,-1420.496460,-1095.701294,1174.297974
8,-1315.319336,-1433.060791,545.383606,-1308.403442,-1438.747314,239.098663,-1302.895264,-1371.871582,104.878052,-1271.701050,-1339.669067,71.197220,-1411.423462,-1106.515381,1171.909912
9,-1304.065796,-1441.060059,540.681580,-1284.244751,-1456.002075,234.273239,-1271.475342,-1393.375488,97.571205,-1238.085815,-1362.218262,65.013290,-1402.162598,-1117.514771,1169.317505
10,-1292.892944,-1448.633423,535.539795,-1261.412964,-1471.081421,229.819992,-1241.437988,-1412.142578,91.424950,-1205.893799,-1382.151367,60.054340,-1392.732056,-1128.661865,1166.514282
11,-1281.774780,-1455.822876,530.040710,-1240.121216,-1483.766968,225.586594,-1213.318604,-1427.928955,86.405594,-1175.791748,-1399.163696,56.166691,-1383.119019,-1139.959473,1163.490601
12,-1270.658203,-1462.699219,524.276611,-1220.430176,-1494.020264,221.393921,-1187.565186,-1440.705200,82.459549,-1148.383545,-1413.153931,53.133953,-1373.300049,-1151.432495,1160.241821
13,-1259.465454,-1469.373535,518.369629,-1202.291260,-1501.980835,217.097382,-1164.535767,-1450.635620,79.553482,-1124.182373,-1424.208862,50.743969,-1363.257690,-1163.113525,1156.776367
14,-1248.099243,-1476.010498,512.490173,-1185.607666,-1507.966187,212.640869,-1144.489380,-1458.055176,77.674393,-1103.580933,-1432.575562,48.845253,-1352.990234,-1175.029297,1153.121704
15,-1236.453857,-1482.830322,506.863281,-1170.286621,-1512.463989,208.086319,-1127.566772,-1463.439209,76.793518,-1086.800659,-1438.633057,47.374622,-1342.517700,-1187.187866,1149.332397
16,-1224.436279,-1490.098145,501.756561,-1156.262329,-1516.103638,203.611954,-1113.765381,-1467.354492,76.828468,-1073.828979,-1442.858032,46.349419,-1331.881836,-1199.565796,1145.497070
17,-1211.986816,-1498.095093,497.451538,-1143.488892,-1519.590698,199.480713,-1102.924927,-1470.378540,77.632149,-1064.385498,-1445.766968,45.827076,-1321.138306,-1212.099976,1141.741455
18,-1199.097534,-1507.072876,494.203094,-1131.917969,-1523.598755,195.983505,-1094.742798,-1472.986084,79.006310,-1057.959717,-1447.835571,45.842594,-1310.348755,-1224.686401,1138.221924
19,-1185.825806,-1517.194824,492.187439,-1121.487671,-1528.625977,193.363693,-1088.827637,-1475.451172,80.723129,-1053.917480,-1449.421631,46.354866,-1299.573120,-1237.188965,1135.104736
20,-1172.310425,-1528.473145,491.445099,-1112.142212,-1534.845825,191.741226,-1084.767090,-1477.828857,82.546997,-1051.623657,-1450.730591,47.233994,-1288.860474,-1249.462646,1132.532837
21,-1158.788940,-1540.720581,491.845673,-1103.870361,-1542.027344,191.072189,-1082.172485,-1480.026733,84.263107,-1050.532959,-1451.839600,48.295628,-1278.240723,-1261.384277,1130.591064
22,-1145.603271,-1553.544312,493.105255,-1096.728394,-1549.603760,191.168915,-1080.687378,-1481.913330,85.712936,-1050.221313,-1452.756470,49.358780,-1267.726929,-1272.874512,1129.292236
23,-1133.169678,-1566.405151,494.855194,-1090.822266,-1556.882202,191.763351,-1079.987671,-1483.399292,86.817276,-1050.370361,-1453.474731,50.291035,-1257.324219,-1283.908691,1128.587524
24,-1121.898193,-1578.722168,496.721039,-1086.240845,-1563.281372,192.577103,-1079.790527,-1484.465820,87.571205,-1050.744263,-1454.000000,51.022228,-1247.037842,-1294.515869,1128.390137
25,-1112.086792,-1589.979126,498.371643,-1082.957031,-1568.461304,193.374435,-1079.869995,-1485.149414,88.020126,-1051.177490,-1454.351685,51.534702,-1236.877075,-1304.769287,1128.597290
